position,split,layer,n_pos,n_neg,probe_c_auroc,direction_free
last_prompt_token,train,0,12,12,0.5,0.5
last_prompt_token,train,1,12,12,0.6458333333333334,0.6458333333333334
last_prompt_token,train,2,12,12,0.0,1.0
last_prompt_token,train,3,12,12,1.0,1.0
last_prompt_token,train,4,12,12,1.0,1.0
last_prompt_token,train,5,12,12,0.9305555555555556,0.9305555555555556
last_prompt_token,train,6,12,12,0.0,1.0
last_prompt_token,train,7,12,12,0.42361111111111116,0.5763888888888888
last_prompt_token,train,8,12,12,0.0,1.0
last_prompt_token,train,9,12,12,0.0,1.0
last_prompt_token,train,10,12,12,0.09722222222222222,0.9027777777777778
last_prompt_token,train,11,12,12,0.1736111111111111,0.8263888888888888
last_prompt_token,train,12,12,12,1.0,1.0
last_prompt_token,train,13,12,12,1.0,1.0
last_prompt_token,train,14,12,12,0.9930555555555555,0.9930555555555555
last_prompt_token,train,15,12,12,0.9027777777777778,0.9027777777777778
last_prompt_token,train,16,12,12,0.0,1.0
last_prompt_token,train,17,12,12,0.0,1.0
last_prompt_token,train,18,12,12,0.0,1.0
last_prompt_token,train,19,12,12,0.6597222222222222,0.6597222222222222
last_prompt_token,train,20,12,12,0.013888888888888895,0.9861111111111112
last_prompt_token,train,21,12,12,0.25,0.75
last_prompt_token,train,22,12,12,0.8680555555555556,0.8680555555555556
last_prompt_token,train,23,12,12,0.013888888888888895,0.9861111111111112
last_prompt_token,train,24,12,12,0.06944444444444446,0.9305555555555556
last_prompt_token,train,25,12,12,0.1527777777777778,0.8472222222222222
last_prompt_token,train,26,12,12,0.0069444444444444475,0.9930555555555556
last_prompt_token,train,27,12,12,0.020833333333333343,0.9791666666666666
last_prompt_token,train,28,12,12,0.0,1.0
last_prompt_token,train,29,12,12,0.15277777777777776,0.8472222222222222
last_prompt_token,train,30,12,12,0.576388888888889,0.576388888888889
last_prompt_token,train,31,12,12,0.3194444444444444,0.6805555555555556
last_prompt_token,train,32,12,12,0.09722222222222222,0.9027777777777778
last_prompt_token,train,33,12,12,1.0,1.0
last_prompt_token,train,34,12,12,0.6736111111111112,0.6736111111111112
last_prompt_token,train,35,12,12,0.8541666666666667,0.8541666666666667
last_prompt_token,train,36,12,12,0.9444444444444444,0.9444444444444444
last_prompt_token,train,37,12,12,0.9166666666666666,0.9166666666666666
last_prompt_token,train,38,12,12,0.7847222222222223,0.7847222222222223
last_prompt_token,train,39,12,12,0.5277777777777778,0.5277777777777778
last_prompt_token,train,40,12,12,0.6458333333333333,0.6458333333333333
last_prompt_token,train,41,12,12,0.701388888888889,0.701388888888889
last_prompt_token,train,42,12,12,0.8472222222222222,0.8472222222222222
last_prompt_token,train,43,12,12,0.6736111111111112,0.6736111111111112
last_prompt_token,train,44,12,12,0.625,0.625
last_prompt_token,train,45,12,12,0.736111111111111,0.736111111111111
last_prompt_token,train,46,12,12,0.6597222222222222,0.6597222222222222
last_prompt_token,train,47,12,12,0.923611111111111,0.923611111111111
last_prompt_token,train,48,12,12,0.8958333333333333,0.8958333333333333
last_prompt_token,train,49,12,12,0.923611111111111,0.923611111111111
last_prompt_token,train,50,12,12,1.0,1.0
last_prompt_token,train,51,12,12,1.0,1.0
last_prompt_token,train,52,12,12,1.0,1.0
last_prompt_token,train,53,12,12,0.9791666666666666,0.9791666666666666
last_prompt_token,train,54,12,12,0.9722222222222222,0.9722222222222222
last_prompt_token,train,55,12,12,0.9236111111111112,0.9236111111111112
last_prompt_token,train,56,12,12,0.8055555555555555,0.8055555555555555
last_prompt_token,train,57,12,12,0.888888888888889,0.888888888888889
last_prompt_token,train,58,12,12,0.9097222222222221,0.9097222222222221
last_prompt_token,train,59,12,12,0.986111111111111,0.986111111111111
last_prompt_token,train,60,12,12,0.9652777777777778,0.9652777777777778
last_prompt_token,train,61,12,12,1.0,1.0
last_prompt_token,train,62,12,12,1.0,1.0
last_prompt_token,train,63,12,12,1.0,1.0
last_prompt_token,train,64,12,12,1.0,1.0
last_prompt_token,val,0,12,12,0.5,0.5
last_prompt_token,val,1,12,12,0.09027777777777779,0.9097222222222222
last_prompt_token,val,2,12,12,0.0,1.0
last_prompt_token,val,3,12,12,0.0,1.0
last_prompt_token,val,4,12,12,1.0,1.0
last_prompt_token,val,5,12,12,1.0,1.0
last_prompt_token,val,6,12,12,1.0,1.0
last_prompt_token,val,7,12,12,1.0,1.0
last_prompt_token,val,8,12,12,1.0,1.0
last_prompt_token,val,9,12,12,1.0,1.0
last_prompt_token,val,10,12,12,0.04861111111111113,0.9513888888888888
last_prompt_token,val,11,12,12,0.0,1.0
last_prompt_token,val,12,12,12,0.0,1.0
last_prompt_token,val,13,12,12,0.0,1.0
