collection,seed,kind,rendering,layer,auroc,delta,offdomain_auroc,offdomain_delta,norm_auroc,norm_auroc_raw,random_auroc_median,random_auroc_p95,n_random,base_auroc,auroc_gain
collect_chat,,clean,chat,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,25,,
collect_chat,,clean,chat,1,0.5486111111111112,0.0008966922760009766,0.5243055555555556,0.0010489225387573242,0.5034722222222222,0.5034722222222222,0.5572916666666666,0.6135416666666667,25,,
collect_chat,,clean,chat,2,0.5954861111111112,0.0019922256469726562,0.5416666666666666,0.0034146904945373535,0.5017361111111112,0.4982638888888889,0.53125,0.5812499999999999,25,,
collect_chat,,clean,chat,3,0.5086805555555556,0.0004226267337799072,0.515625,0.001325845718383789,0.5190972222222222,0.4809027777777778,0.5590277777777778,0.6128472222222222,25,,
collect_chat,,clean,chat,4,0.5225694444444444,0.0006277561187744141,0.4930555555555556,-0.00681304931640625,0.5364583333333334,0.5364583333333334,0.5555555555555556,0.6680555555555554,25,,
collect_chat,,clean,chat,5,0.5243055555555556,0.001134634017944336,0.484375,-0.004458427429199219,0.6024305555555556,0.3975694444444444,0.5607638888888888,0.6194444444444445,25,,
collect_chat,,clean,chat,6,0.5659722222222222,0.005489349365234375,0.5034722222222222,-0.0031735897064208984,0.6475694444444444,0.3524305555555556,0.5451388888888888,0.6951388888888888,25,,
collect_chat,,clean,chat,7,0.4496527777777778,-0.004410147666931152,0.4895833333333333,-0.0057544708251953125,0.6215277777777778,0.3784722222222222,0.5555555555555556,0.6489583333333333,25,,
collect_chat,,clean,chat,8,0.4947916666666667,-0.0013735294342041016,0.4930555555555556,-0.0021660327911376953,0.5885416666666667,0.4114583333333333,0.5538194444444444,0.6524305555555555,25,,
collect_chat,,clean,chat,9,0.3402777777777778,-0.04276537895202637,0.4340277777777778,-0.041770219802856445,0.5815972222222222,0.5815972222222222,0.5694444444444444,0.6937499999999999,25,,
collect_chat,,clean,chat,10,0.5347222222222222,-0.012492895126342773,0.5017361111111112,-0.03147435188293457,0.5538194444444444,0.5538194444444444,0.5607638888888888,0.704861111111111,25,,
collect_chat,,clean,chat,11,0.4774305555555556,-0.014384269714355469,0.3784722222222222,-0.22049283981323242,0.5017361111111112,0.5017361111111112,0.5295138888888888,0.6211805555555556,25,,
collect_chat,,clean,chat,12,0.421875,-0.040538787841796875,0.4409722222222222,-0.11948585510253906,0.5434027777777778,0.4565972222222222,0.6024305555555556,0.6920138888888888,25,,
collect_chat,,clean,chat,13,0.4756944444444444,-0.0692906379699707,0.4635416666666667,-0.06702899932861328,0.5381944444444444,0.4618055555555556,0.5711805555555556,0.7118055555555554,25,,
collect_chat,,clean,chat,14,0.4722222222222222,0.013869762420654297,0.5347222222222222,0.07959842681884766,0.6232638888888888,0.6232638888888888,0.5451388888888888,0.6489583333333332,25,,
collect_chat,,clean,chat,15,0.5347222222222222,0.059838294982910156,0.4982638888888889,0.0874624252319336,0.5659722222222222,0.5659722222222222,0.5625,0.6986111111111111,25,,
collect_chat,,clean,chat,16,0.4774305555555556,-0.03179359436035156,0.4618055555555556,-0.2489604949951172,0.6145833333333334,0.6145833333333334,0.59375,0.6440972222222221,25,,
collect_chat,,clean,chat,17,0.4288194444444444,-0.09421539306640625,0.5,-0.049774169921875,0.7430555555555556,0.7430555555555556,0.5381944444444444,0.6600694444444444,25,,
collect_chat,,clean,chat,18,0.4809027777777778,-0.2095050811767578,0.53125,0.2658843994140625,0.6267361111111112,0.6267361111111112,0.5711805555555556,0.7041666666666667,25,,
collect_chat,,clean,chat,19,0.4288194444444444,-0.36490345001220703,0.5052083333333334,0.056591033935546875,0.6302083333333334,0.6302083333333334,0.578125,0.6875,25,,
collect_chat,,clean,chat,20,0.4461805555555556,-1.1766462326049805,0.5121527777777778,0.28127288818359375,0.5798611111111112,0.5798611111111112,0.5538194444444444,0.6472222222222221,25,,
collect_chat,,clean,chat,21,0.4739583333333333,-0.16958332061767578,0.5399305555555556,1.245525598526001,0.5225694444444444,0.4774305555555556,0.5555555555555556,0.6194444444444445,25,,
collect_chat,,clean,chat,22,0.5017361111111112,-0.36051177978515625,0.5208333333333334,1.369140625,0.5121527777777778,0.4878472222222222,0.5295138888888888,0.6,25,,
collect_chat,,clean,chat,23,0.4965277777777778,-0.03143310546875,0.5260416666666666,2.517242431640625,0.5052083333333333,0.4947916666666667,0.5347222222222222,0.5864583333333333,25,,
collect_chat,,clean,chat,24,0.4913194444444444,-0.09124755859375,0.5295138888888888,2.067626953125,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.56875,25,,
collect_chat,,clean,chat,25,0.5434027777777778,2.068817138671875,0.5260416666666666,2.377655029296875,0.5607638888888888,0.5607638888888888,0.5173611111111112,0.5534722222222223,25,,
collect_chat,,clean,chat,26,0.4947916666666667,0.0631866455078125,0.5225694444444444,2.254608154296875,0.5520833333333334,0.5520833333333334,0.5138888888888888,0.5420138888888889,25,,
collect_chat,,clean,chat,27,0.5208333333333334,2.46783447265625,0.5190972222222222,4.2550048828125,0.5451388888888888,0.5451388888888888,0.5173611111111112,0.5385416666666667,25,,
collect_chat,,clean,chat,28,0.4861111111111111,-0.04718971252441406,0.53125,0.6484546661376953,0.5121527777777778,0.5121527777777778,0.5138888888888888,0.5416666666666667,25,,
collect_literal,,clean,literal,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,25,,
collect_literal,,clean,literal,1,0.5520833333333334,0.0008275657892227173,0.5104166666666666,0.00038993358612060547,0.5034722222222222,0.5034722222222222,0.5572916666666666,0.6135416666666667,25,,
